applicant_id,age,gender,state,employment_type,monthly_income,credit_score,loan_purpose,loan_amount,tenure_months,interest_rate,emi,existing_loans,num_dependents,application_date,debt_to_income,default_flag
APP101901,39,Male,West Bengal,Salaried,55800.0,699,Education,47000.0,60,11.23,1027.0,0,2,2024-09-16,0.02,0
APP105089,43,Male,Tamil Nadu,Salaried,21200.0,731,Personal,376000.0,36,13.68,12792.0,2,3,2024-12-23,1.81,0
APP105813,24,Female,Maharashtra,Salaried,52600.0,679,Personal,319000.0,84,13.25,5847.0,0,1,2025-05-23,0.11,1
APP102381,39,Male,Telangana,Salaried,43300.0,574,Home Renovation,158000.0,24,14.63,7633.0,0,4,2024-04-18,0.18,0
APP101625,53,Female,Maharashtra,Self-Employed,36800.0,681,Medical,288000.0,12,13.3,25764.0,0,3,2025-11-08,0.7,0
APP101699,32,Male,Delhi,Business Owner,,654,Home Renovation,350000.0,36,13.84,11935.0,3,0,2025-11-30,0.62,0
APP102141,34,Female,Karnataka,Salaried,53000.0,644,Personal,286000.0,60,13.32,6554.0,0,1,2025-09-04,0.12,0
APP101172,42,Male,Punjab,Salaried,46000.0,527,Education,286000.0,24,14.29,13771.0,0,1,2025-02-09,0.3,0
APP103110,58,Male,Gujarat,Salaried,,658,Home Renovation,299000.0,12,11.93,26556.0,0,2,2024-08-09,0.68,0
APP100965,56,Male,Delhi,Self-Employed,59300.0,682,Vehicle,193000.0,60,13.29,4420.0,0,2,2025-08-20,0.07,0
APP105625,37,Female,Uttar Pradesh,Salaried,65100.0,808,Personal,359000.0,24,10.5,16649.0,5,2,2025-07-31,1.53,0
APP102805,28,Male,Telangana,Self-Employed,52700.0,689,Personal,288000.0,84,11.25,4969.0,3,0,2024-10-30,0.38,0
APP103971,36,Male,Tamil Nadu,Self-Employed,80300.0,554,Home Renovation,376000.0,60,15.96,9136.0,0,1,2024-09-20,0.11,0
APP101772,29,Male,Uttar Pradesh,Salaried,39600.0,672,Education,60000.0,48,12.18,1585.0,1,1,2024-06-08,0.08,0
APP100135,48,Male,West Bengal,Salaried,39100.0,623,Home Renovation,200000.0,36,14.32,6867.0,0,0,2024-03-22,0.18,0
APP102650,47,Male,Maharashtra,Self-Employed,13400.0,797,Vehicle,402000.0,48,11.83,10553.0,0,1,2025-07-22,0.79,0
